#Org.,Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,DRN,Recaptació líquida
100,11200,Impost sobre béns immobles. béns immobles de natural rústica,4000.0,,4000.0,4621.72,2988.77
100,11300,Impost sobre béns immobles de naturalesa urbana,24500000.0,,24500000.0,25180143.48,23499892.71
100,11400,Impost sobre béns immobles de característiques especials,189000.0,,189000.0,188357.11,6956.13
,,IBI,24693000.0,,24693000.0,25373122.31,23509837.61
100,11500,Impost sobre vehicles de tracció mecànica,4722518.11,,4722518.11,4519329.85,4034932.75
,,IVTM,4722518.11,,4722518.11,4519329.85,4034932.75
100,11600,Impost sobre l'increment del valor del terreny (Plus-vàlua),2173690.0,,2173690.0,3171664.31,2230986.61
,,IIVT,2173690.0,,2173690.0,3171664.31,2230986.61
100,13000,Impost sobre activitats econòmiques,4224542.89,,4224542.89,4291512.76,3984530.02
100,13001,IAE quotes provincials i nacionals,300000.0,,300000.0,384149.23,384149.23
100,13002,IAE inspecció exercicis anteriors,,,,7100.85,7100.85
,,IAE,4524542.89,,4524542.89,4682762.84,4375780.1
,,1. IMPOSTOS DIRECTES,36113751.0,,36113751.0,37746879.31,34151537.07
100,29000,Impost sobre construcciones intal·lacions i obres,450000.0,,450000.0,552179.3,309075.05
100,29001,Inspecció impost de construccions,,,,439004.02,137.48
,,ICIO,450000.0,,450000.0,991183.32,309212.53
,,2. IMPOSTOS INDIRECTES,450000.0,,450000.0,991183.32,309212.53
100,30200,Taxa per recollida domiciliària d'escombraries,2800000.0,,2800000.0,2864926.96,2694650.45
100,30201,Taxa per recollida d'escombraries industrial i cial.,1211241.75,,1211241.75,828398.32,626765.14
100,30202,Taxa pel servei de deixalleria,23093.7,,23093.7,27568.71,16185.92
100,30300,Prestació de servei recollida d'envasos,350000.0,,350000.0,566206.69,471017.02
100,30301,Recollida residus elèctrics i electrònics,13707.36,,13707.36,7309.12,4279.71
100,30302,Recollida de residus oli vegetal,500.0,,500.0,1412.0,
100,30400,Retorn del cànon,144000.0,,144000.0,165221.37,165221.37
