Acció social,2310,44900,,,B60492329,FONT DEL FERRO SL,,APORTACIÓ MUNICIPAL PER AL MES DE GENER2015 SERVEIS SOCIALS,60000,
Intervenció i comptabilitat,9310,22706,,,,"<abbr title='Aquest concepte recull les persones físiques, la identitat de les quals queda protegida en compliment de la Llei Orgànica de Protecció de Dades.'>[Anonimitzat]*</abbr>",,PROVA PER A PRESENTACIÓ DE FACTURA ELECTRNICA,121,
Intervenció i comptabilitat,9310,22706,,,,"<abbr title='Aquest concepte recull les persones físiques, la identitat de les quals queda protegida en compliment de la Llei Orgànica de Protecció de Dades.'>[Anonimitzat]*</abbr>",,PROVA PER A PRESENTACIÓ DE FACTURA ELECTRNICA,-121,
Acció social,2310,44900,,,B60492329,FONT DEL FERRO SL,,APORTACIÓ MUNICIPAL MES FEBRER2015 SERVEIS SOCIALS,55000,
Promoció cultural,3340,48006,,,G62462494,COORDINADORA DE ENTIDADES CULTURALES ANDALUZAS DE RUBI,,Subvenciones 201520153739805000 G62462494 CONVENI CECAR 2015 DIA ANDALUSIA,8500,
Instal·lacions esportives,3420,20300,,2015-01-01,B64877467,CARDIOSAFE SL,,ARRENDAMENT 4 DESFIBRILLADORS EXTERNS SEMI AUTOMTICS PER 4 DEPENDNCIES ESPORTIVES MUNICIPALS R2018,454.96,
Tinença d'animals,3111,22799,,2015-01-02,,"<abbr title='Aquest concepte recull les persones físiques, la identitat de les quals queda protegida en compliment de la Llei Orgànica de Protecció de Dades.'>[Anonimitzat]*</abbr>",,SERVEI DE CONTROL SANITARI I ESTERILITZACIÓ DE GATS DE CARRER XIP ANICOM,500,
"Serveis generals de l'àrea de serveis centrals, hisenda i règim interior",9209,22200,,2015-01-01,A78923125,TELEFONICA MOVILES SA,,PEL SERVEI DE TELECOMUNICACIONS LOT 2 MBIL Període del 18112014 al 17122014,1367.36,
Manteniment dependències municipals,9208,21300,,2015-01-01,B46001897,THYSSENKRUPP ELEVADORES SL,,MANTENIMENT ELEVADORS EDIFICIS MUNICIPALS C Dr Robert 19 Gener 2015,2219.67,
"Serveis generals de l'àrea de serveis centrals, hisenda i règim interior",9209,21300,,2015-01-12,B62938758,OPENRET SL,,MANTENIMENT DE LA CENTRALETA TELEFONICA RD 101 AL 28022015,580.8,
