Acción social,2310,44900,,,B60492329,FONT DEL FERRO SL,,APORTACIÓ MUNICIPAL PER AL MES DE GENER2015 SERVEIS SOCIALS,60000,
Intervención y contabilidad,9310,22706,,,,<abbr title='Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos.'>[Anonimizado]*</abbr>,,PROVA PER A PRESENTACIÓ DE FACTURA ELECTRNICA,121,
Intervención y contabilidad,9310,22706,,,,<abbr title='Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos.'>[Anonimizado]*</abbr>,,PROVA PER A PRESENTACIÓ DE FACTURA ELECTRNICA,-121,
Acción social,2310,44900,,,B60492329,FONT DEL FERRO SL,,APORTACIÓ MUNICIPAL MES FEBRER2015 SERVEIS SOCIALS,55000,
Promoción cultural,3340,48006,,,G62462494,COORDINADORA DE ENTIDADES CULTURALES ANDALUZAS DE RUBI,,Subvenciones 201520153739805000 G62462494 CONVENI CECAR 2015 DIA ANDALUSIA,8500,
Instalaciones deportivas,3420,20300,,2015-01-01,B64877467,CARDIOSAFE SL,,ARRENDAMENT 4 DESFIBRILLADORS EXTERNS SEMI AUTOMTICS PER 4 DEPENDNCIES ESPORTIVES MUNICIPALS R2018,454.96,
Tenencia de animales,3111,22799,,2015-01-02,,<abbr title='Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos.'>[Anonimizado]*</abbr>,,SERVEI DE CONTROL SANITARI I ESTERILITZACIÓ DE GATS DE CARRER XIP ANICOM,500,
"Servicios Generales del área de servicios centrales, hacienda y régimen interior",9209,22200,,2015-01-01,A78923125,TELEFONICA MOVILES SA,,PEL SERVEI DE TELECOMUNICACIONS LOT 2 MBIL Període del 18112014 al 17122014,1367.36,
Mantenimiento dependencias municipales,9208,21300,,2015-01-01,B46001897,THYSSENKRUPP ELEVADORES SL,,MANTENIMENT ELEVADORS EDIFICIS MUNICIPALS C Dr Robert 19 Gener 2015,2219.67,
"Servicios Generales del área de servicios centrales, hacienda y régimen interior",9209,21300,,2015-01-12,B62938758,OPENRET SL,,MANTENIMENT DE LA CENTRALETA TELEFONICA RD 101 AL 28022015,580.8,
Atención al ciudadano,9250,22201,,2015-01-09,A83052407,SOCIEDAD ESTATAL CORREOS Y TELEGRAFOS SA,,PELS SERVEIS POSTALS DE LAJUNTAMENT DE RUBÍ PERÍODE NOVEMBRE 2014,574,
Seguridad y orden público,1320,20400,,2015-01-01,A91001438,ALPHABET ESPAÑA FLEET MANAGEMENT SA,,ARRENDAMENT AMB OPCIÓ A COMPRA DUN VEHICLE PER A LA POLICIA LOCAL MATRICULA 2913HFX GENER 2015,1226.47,
Seguridad y orden público,1320,20400,,2015-01-01,A60028776,BBVA AUTORENTING SA,,ARRENDAMENT AMB OPCIÓ A COMPRA DE TRES VEHICLES PER A LA POLICIA LOCAL GENER 2015,4061.58,
Informática,9205,20400,,2015-01-01,A60028776,BBVA AUTORENTING SA,,SUBMINISTRAMENT DEL VEHICLE ADSCRIT A INFORMTICA MATRICULA 9969HBP del 01012015 al 06022015,525.52,
Seguridad y orden público,1320,20400,,2015-01-01,A60028776,BBVA AUTORENTING SA,,RNTING VEHICLE 6073HFF període gener 2015,1250.12,
Seguridad y orden público,1320,20400,,2015-01-01,A91001438,ALPHABET ESPAÑA FLEET MANAGEMENT SA,,ARRENDAMENT AMB OPCIÓ A COMPRA DUN VEHICLE PER A LA POLICIA LOCAL 6561HMP PERÍODE GENER 2015,676.56,
Informática,9205,21600,,2015-01-02,A58137423,ABAST SOLUTIONS SA,,Pel mant i suport de les Bases de Dades dOracle per als Plans de Contingncia prventius semestrals Gener 2015,569.6,
Mantenimiento dependencias municipales,9208,22700,,2015-01-19,A80364243,CLECE SA,,SERVEI DE NETEJA DEPENDNCIES MUNICIPALS I ESCOLES PÚBLIQUES DESEMBRE 2014,34915.61,
Recursos Humanos y organización,9204,2279901,,2015-01-13,G61932612,ASSOCIACIO CATALANA D'AMICS DE L'AIGUA,,Drets dinscripció I Congrés de laigua a Catalunya M Carmen Mendez Arrebola 18 i 19 de mar15,90,
Recursos Humanos y organización,9204,2279901,,2015-01-13,G61932612,ASSOCIACIO CATALANA D'AMICS DE L'AIGUA,,Drets dinscripció I Congrés de laigua a Catalunya M Carmen Mendez Arrebola 18 i 19 de mar15,150,
Instalaciones deportivas,3420,20300,,2015-01-08,A81440786,SIEMENS RENTING SA,,ARRENDAMENT MQUINA FREGADORA SERVEI DESPORTS PERÍODE DEL 2601201525022015,202.06,
Informática,9205,20600,,2015-01-02,B25641002,SVT PROVEEDOR DE SERVICIOS INTERNET SL,,PEL LLOGUER DESPAI VDC CENTRE DE DADES VIRTUAL A MIDA DEL NÚVOL del 020115 al 010215,473.9,
Acción institucional y comunicación,9121,22601,,2015-01-14,G61289658,ASSOCIACIO SANT GALDERIC,,72 ampolles de cava per a actes relacionats amb Alcaldia,460.8,
Informática,9205,21600,,2015-01-05,,<abbr title='Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos.'>[Anonimizado]*</abbr>,,PEL MANTENIMENT DE LES LLICNCIES DEL PROGRAMARI MICROSTATION I POWERDRAF 71 ANY 2015,5274.39,
Informática,9205,22706,,2015-01-19,Q0801175A,CONSORCI ADMINISTRACIO OBERTA DE CATALUNYA,,LLT Llicncies certificats en targeta CPISR1 María Gabriella Orefice LLT Llicncies ce,3.61,
Hacienda y servicios económicos,9320,22001,,2015-01-14,A08902173,ATELIER LIBROS SA,,Compra manual de pressupostos i comptabilitat de les corporacions locals,104,
Fomento del empleo,2410,2219902,,2015-01-15,B66007436,AKTIVA STYLE WORK SLU,,Material per als cursos de formació uniforme i roba per als alumnes del curs de bar i cafeteria,842.16,
Contratación y compras,9207,21300,,2015-01-22,,<abbr title='Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos.'>[Anonimizado]*</abbr>,,MANTENIMENT ANY 2015 RELLOTGES TITULARITAT MPAL ESGLÉSIA ST PERE FAANA AJUNTAMENT DESPATX SECRETRIA ALCALDESSA,1298.5,
Fomento del empleo,2410,22799,,2015-01-30,,<abbr title='Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos.'>[Anonimizado]*</abbr>,,Mdul formatiu acció Servei Bar i Cafeteria curs ajuntament del 120115 al 290115 prctiques profno laborals,2000,
Comercio,4310,22700,,2015-01-12,A28037224,FOMENTO DE CONSTRUCCIONES Y CONTRATAS SA,,SERVEIS NETEJA I CONTENIDORS FIRES NADAL ALIMENTARIA I MERCAT DART,679.38,
Proyectos estratégicos y supramunicipales,4321,2269905,,2015-01-15,,<abbr title='Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos.'>[Anonimizado]*</abbr>,,Treballs certificació deficincia energtica als edificis municipals incloses les taxes que shan de pagar a lICAEN,2955.89,
Acceso a los núcleos de población,1531,22199,,2015-01-15,A58077629,FORMIGONS MONTCAU SA,,COMPRA DE FORMIGO,867.57,
Recogida y eliminación de residuos,1621,22799,,2015-01-12,A28037224,FOMENTO DE CONSTRUCCIONES Y CONTRATAS SA,,TREBALLS DE NETEJA A LENTORN DE LA ANTIGA PETANCA DEL BARRI DE LES TORRES DE RUBÍ EL 17122014,258.34,
Mantenimiento dependencias municipales,9208,22199,,2015-01-10,B60607348,CERAMICAS DOMINGUEZ SL,,MATERIAL BRIGADA ARENA NORMAL 25KG PALET SEFEL,62.92,
Mantenimiento dependencias municipales,9208,22199,,2015-01-10,B60607348,CERAMICAS DOMINGUEZ SL,,MATERIAL BRIGADA PORTLAND 25 KG 325 ELITE 64UD POR PALET,26.38,
Mantenimiento dependencias municipales,9208,22001,,2015-01-02,J58899618,BOLETIN ECONOMICO DE LA CONSTRUCCION SCP,,BOLETIN ECONOMICO DE LA CONSTRUCCION 2015,107,
Fiestas populares,3380,22699,,2015-01-05,,<abbr title='Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos.'>[Anonimizado]*</abbr>,,PER SERVEI DE TRACTOR EN CAVALCADA DE REIS2015 SERVEI DE CULTURA,484,
Fiestas populares,3380,22609,,2015-01-08,A59935791,ILUMINACION Y SONIDO TECNORADIO SA,,ESPECTACLE LSER DIA 05GENER PER REIS SERVEI DE CULTURA,6050,
Fiestas populares,3380,22699,,2015-01-14,F60149267,CISEC SCCL,,SUPORT PREPARACIÓ CAVALCADA REIS2015 SERVEI DE CULTURA,276.13,
Fiestas populares,3380,22609,,2015-01-08,B62477831,ARTISTIC EVENTS SL,,ACTUACIÓ CAVALCADA REIS2015 PLANETES INFLABLES GOSSOS GEGANTS ELEFANT etc SERVEI DE CULTURA,13878.7,
