#Org.,Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,DRN,Recaptació líquida
9320,11200,Impost sobre béns immobles. béns immobles de natural rústica,5000.0,,5000.0,4171.25,3847.39
9320,11300,Impost sobre béns immobles de naturalesa urbana,27728148.87,,27728148.87,28212284.69,26012146.66
9320,11400,Impost sobre béns immobles de característiques especials,189000.0,,189000.0,188357.11,188357.11
,,IBI,27922148.87,,27922148.87,28404813.05,26204351.16
9320,11500,Impost sobre vehicles de tracció mecànica,4500000.0,,4500000.0,4255508.45,3808763.54
,,IVTM,4500000.0,,4500000.0,4255508.45,3808763.54
9320,11600,Impost sobre l'increment del valor del terreny (Plus-vàlua),2670000.0,,2670000.0,3931396.71,3018645.43
,,IIVT,2670000.0,,2670000.0,3931396.71,3018645.43
9320,13000,Impost sobre activitats econòmiques,4600000.0,,4600000.0,3962851.0,3747094.78
9320,13001,IAE quotes provincials i nacionals,300000.0,,300000.0,436037.43,436037.43
,,IAE,4900000.0,,4900000.0,4398888.43,4183132.21
,,1. IMPOSTOS DIRECTES,39992148.87,,39992148.87,40990606.64,37214892.34
1550,29000,"Impost sobre construccions, instal·lacions i obres",22000.0,,22000.0,14923.89,7133.03
9320,29000,Impost sobre construcciones intal·lacions i obres,275000.0,,275000.0,440899.28,391469.23
,,ICIO,297000.0,,297000.0,455823.17,398602.26
,,2. IMPOSTOS INDIRECTES,297000.0,,297000.0,455823.17,398602.26
1620,30200,Taxa per recollida domiciliària d'escombraries,3290880.56,,3290880.56,3363503.24,3154721.32
1620,30201,Taxa per recollida d'escombraries industrial i cial.,555505.77,,555505.77,674768.61,543595.01
1620,30202,Taxa pel servei de deixalleria,27000.0,,27000.0,31877.57,31877.57
1620,30300,Prestació de servei recollida d'envasos,260000.0,,260000.0,339545.32,339545.32
1620,30301,Recollida residus elèctrics i electrònics,10000.0,,10000.0,6849.58,6236.15
1620,30302,Prestació del servei recollida de vidre,60000.0,,60000.0,33424.39,33424.39
1620,30303,Prestació del servei recollida de paper i cartró,100000.0,,100000.0,47181.3,30637.29
1620,30400,Retorn del cànon,135000.0,,135000.0,114511.85,114511.85
1640,30900,Taxes de cementiri municipal,20000.0,,20000.0,25508.39,24564.48
1640,30901,Taxes manteniment cementiri municipal,135000.0,,135000.0,149390.18,129945.98
1320,30902,Prestació de serveis de policia local,500.0,,500.0,,
3221,31200,Rebuts escola d'art,30931.11,,30931.11,29597.57,18481.77
3370,31201,Ingressos Torre Bassas,,,,,
3132,31901,Taxes per inscripció d'animals de companyia,5000.0,,5000.0,5681.8,5681.8
3130,31902,Serveis de control i inspecció sanitaris en matèries de Salu,3500.0,,3500.0,127.18,
3130,31903,Autoritzacions sanitàries per a la pràctica de tatuatges i/o,600.0,,600.0,,
1511,32100,Taxes per llicències urbanístiques,170000.0,,170000.0,299464.26,283655.06
1320,32500,Expedició de documents,40315.0,,40315.0,14948.8,14823.8
1510,32500,Expedicio de documents,700.0,,700.0,29777.41,29777.41
2310,32500,Taxa expedició documents informe adequació habitatge,14393.0,,14393.0,,
4311,32500,Expedició de documents,,,,6072.84,6005.94
1330,32600,Servei de grua,279000.0,,279000.0,210450.81,210430.81
1330,32900,Elements publicitaris a la via pública,30000.0,,30000.0,32751.0,32751.0
1330,32902,Llicències d'autotaxis i vehicles de lloguer,,,,3156.2,3156.2
1551,32902,Llicències d'autotaxis i vehicles de lloguer,,,,,
1511,32903,Llicència d'obertures d'establiments,188870.0,,188870.0,355422.96,305564.35
4311,32904,Serveis de mercat,425000.0,,425000.0,409605.1,350346.08
9204,32905,Taxes d'inscripcions per a la selecció de personal,,,,2175.4,2175.4
1330,33000,Taxa dipòsit de vehicles,9000.0,,9000.0,5367.0,5367.0
1330,33001,Reserves per estacionament,24000.0,,24000.0,38544.5,38544.5
1330,33100,Entrada de vehicles en edificis,1012068.0,,1012068.0,1020141.05,935017.95
1330,33101,Altes guals inspecció,15628.0,,15628.0,164.67,164.67
1330,33102,Plaques de gual,3000.0,,3000.0,1245.0,1245.0
9320,33200,Taxa per utilit. privat. o aprofit. especial per emp.explot,1000000.0,,1000000.0,1056645.2,892053.47
9320,33300,Taxa per utilit. priv. aprofit. esp.emp.expl. telecomunic,,,,125036.98,118581.14
1550,33400,Taxa obertura de rases,70000.0,,70000.0,54660.0,18243.5
